file_name,label,label_name
3224.png,42,End of no passing by vehicles over 3.5 metric tons
3225.png,25,Road work
3226.png,32,End of all speed and passing limits
3227.png,42,End of no passing by vehicles over 3.5 metric tons
3228.png,9,No passing
3229.png,41,End of no passing
3230.png,34,Turn left ahead
3231.png,38,Keep right
3232.png,38,Keep right
3233.png,0,Speed limit (20km/h)
3234.png,32,End of all speed and passing limits
3235.png,40,Roundabout mandatory
3236.png,13,Yield
3237.png,38,Keep right
3238.png,4,Speed limit (70km/h)
3239.png,13,Yield
3240.png,32,End of all speed and passing limits
3241.png,38,Keep right
3242.png,13,Yield
3243.png,15,No vehicles
3244.png,34,Turn left ahead
3245.png,18,General caution
3246.png,30,Beware of ice/snow
3247.png,28,Children crossing
3248.png,14,Stop
3249.png,3,Speed limit (60km/h)
3250.png,28,Children crossing
3251.png,36,Go straight or right
3252.png,1,Speed limit (30km/h)
3253.png,7,Speed limit (100km/h)
3254.png,0,Speed limit (20km/h)
3255.png,39,Keep left
3256.png,17,No entry
3257.png,24,Road narrows on the right
3258.png,29,Bicycles crossing
3259.png,3,Speed limit (60km/h)
3260.png,42,End of no passing by vehicles over 3.5 metric tons
3261.png,42,End of no passing by vehicles over 3.5 metric tons
3262.png,11,Right-of-way at the next intersection
3263.png,14,Stop
3264.png,37,Go straight or left
3265.png,36,Go straight or right
3266.png,39,Keep left
3267.png,36,Go straight or right
3268.png,1,Speed limit (30km/h)
3269.png,23,Slippery road
3270.png,35,Ahead only
3271.png,27,Pedestrians
3272.png,12,Priority road
3273.png,8,Speed limit (120km/h)
3274.png,30,Beware of ice/snow
3275.png,42,End of no passing by vehicles over 3.5 metric tons
3276.png,18,General caution
3277.png,7,Speed limit (100km/h)
3278.png,33,Turn right ahead
3279.png,16,Vehicles over 3.5 metric tons prohibited
3280.png,2,Speed limit (50km/h)
3281.png,26,Traffic signals
3282.png,21,Double curve
3283.png,9,No passing
3284.png,36,Go straight or right
3285.png,32,End of all speed and passing limits
3286.png,33,Turn right ahead
3287.png,33,Turn right ahead
3288.png,9,No passing
3289.png,36,Go straight or right
3290.png,26,Traffic signals
3291.png,32,End of all speed and passing limits
3292.png,5,Speed limit (80km/h)
3293.png,38,Keep right
3294.png,21,Double curve
3295.png,38,Keep right
3296.png,13,Yield
3297.png,15,No vehicles
3298.png,21,Double curve
3299.png,13,Yield
3300.png,24,Road narrows on the right
3301.png,8,Speed limit (120km/h)
3302.png,15,No vehicles
3303.png,27,Pedestrians
3304.png,1,Speed limit (30km/h)
3305.png,5,Speed limit (80km/h)
3306.png,19,Dangerous curve to the left
3307.png,26,Traffic signals
3308.png,1,Speed limit (30km/h)
3309.png,10,No passing for vehicles over 3.5 metric tons
3310.png,30,Beware of ice/snow
3311.png,22,Bumpy road
3312.png,0,Speed limit (20km/h)
3313.png,32,End of all speed and passing limits
3314.png,8,Speed limit (120km/h)
3315.png,2,Speed limit (50km/h)
3316.png,0,Speed limit (20km/h)
3317.png,25,Road work
3318.png,33,Turn right ahead
3319.png,10,No passing for vehicles over 3.5 metric tons
3320.png,37,Go straight or left
3321.png,29,Bicycles crossing
3322.png,40,Roundabout mandatory
3323.png,24,Road narrows on the right
3324.png,4,Speed limit (70km/h)
3325.png,10,No passing for vehicles over 3.5 metric tons
3326.png,12,Priority road
3327.png,42,End of no passing by vehicles over 3.5 metric tons
3328.png,21,Double curve
3329.png,25,Road work
3330.png,26,Traffic signals
3331.png,37,Go straight or left
3332.png,25,Road work
3333.png,12,Priority road
3334.png,9,No passing
3335.png,24,Road narrows on the right
3336.png,26,Traffic signals
3337.png,19,Dangerous curve to the left
3338.png,3,Speed limit (60km/h)
3339.png,11,Right-of-way at the next intersection
3340.png,30,Beware of ice/snow
3341.png,5,Speed limit (80km/h)
3342.png,40,Roundabout mandatory
3343.png,1,Speed limit (30km/h)
3344.png,41,End of no passing
3345.png,10,No passing for vehicles over 3.5 metric tons
3346.png,11,Right-of-way at the next intersection
3347.png,19,Dangerous curve to the left
3348.png,5,Speed limit (80km/h)
3349.png,18,General caution
3350.png,18,General caution
3351.png,18,General caution
3352.png,28,Children crossing
3353.png,38,Keep right
3354.png,25,Road work
3355.png,34,Turn left ahead
3356.png,0,Speed limit (20km/h)
3357.png,10,No passing for vehicles over 3.5 metric tons
3358.png,4,Speed limit (70km/h)
3359.png,19,Dangerous curve to the left
3360.png,42,End of no passing by vehicles over 3.5 metric tons
3361.png,7,Speed limit (100km/h)
3362.png,9,No passing
3363.png,28,Children crossing
3364.png,16,Vehicles over 3.5 metric tons prohibited
3365.png,40,Roundabout mandatory
3366.png,14,Stop
3367.png,27,Pedestrians
3368.png,11,Right-of-way at the next intersection
3369.png,32,End of all speed and passing limits
3370.png,5,Speed limit (80km/h)
3371.png,20,Dangerous curve to the right
3372.png,37,Go straight or left
3373.png,26,Traffic signals
3374.png,0,Speed limit (20km/h)
3375.png,33,Turn right ahead
3376.png,21,Double curve
3377.png,25,Road work
3378.png,17,No entry
3379.png,19,Dangerous curve to the left
3380.png,34,Turn left ahead
3381.png,28,Children crossing
3382.png,0,Speed limit (20km/h)
3383.png,40,Roundabout mandatory
3384.png,22,Bumpy road
3385.png,15,No vehicles
3386.png,21,Double curve
3387.png,19,Dangerous curve to the left
3388.png,26,Traffic signals
3389.png,19,Dangerous curve to the left
3390.png,12,Priority road
3391.png,40,Roundabout mandatory
3392.png,28,Children crossing
3393.png,17,No entry
3394.png,9,No passing
3395.png,26,Traffic signals
3396.png,4,Speed limit (70km/h)
3397.png,31,Wild animals crossing
3398.png,41,End of no passing
3399.png,31,Wild animals crossing
3400.png,24,Road narrows on the right
3401.png,9,No passing
3402.png,29,Bicycles crossing
3403.png,1,Speed limit (30km/h)
3404.png,32,End of all speed and passing limits
3405.png,8,Speed limit (120km/h)
3406.png,2,Speed limit (50km/h)
3407.png,13,Yield
3408.png,35,Ahead only
3409.png,5,Speed limit (80km/h)
3410.png,26,Traffic signals
3411.png,3,Speed limit (60km/h)
3412.png,12,Priority road
3413.png,42,End of no passing by vehicles over 3.5 metric tons
3414.png,19,Dangerous curve to the left
3415.png,35,Ahead only
3416.png,7,Speed limit (100km/h)
3417.png,25,Road work
3418.png,14,Stop
3419.png,39,Keep left
3420.png,37,Go straight or left
3421.png,10,No passing for vehicles over 3.5 metric tons
3422.png,4,Speed limit (70km/h)
3423.png,14,Stop
3424.png,21,Double curve
3425.png,16,Vehicles over 3.5 metric tons prohibited
3426.png,32,End of all speed and passing limits
3427.png,21,Double curve
3428.png,33,Turn right ahead
3429.png,15,No vehicles
3430.png,5,Speed limit (80km/h)
3431.png,24,Road narrows on the right
3432.png,24,Road narrows on the right
3433.png,35,Ahead only
3434.png,34,Turn left ahead
3435.png,25,Road work
3436.png,12,Priority road
3437.png,23,Slippery road
3438.png,26,Traffic signals
3439.png,6,End of speed limit (80km/h)
3440.png,21,Double curve
3441.png,39,Keep left
3442.png,34,Turn left ahead
3443.png,6,End of speed limit (80km/h)
3444.png,23,Slippery road
3445.png,1,Speed limit (30km/h)
3446.png,30,Beware of ice/snow
3447.png,28,Children crossing
3448.png,30,Beware of ice/snow
3449.png,34,Turn left ahead
3450.png,10,No passing for vehicles over 3.5 metric tons
3451.png,7,Speed limit (100km/h)
3452.png,2,Speed limit (50km/h)
3453.png,11,Right-of-way at the next intersection
3454.png,25,Road work
3455.png,29,Bicycles crossing
3456.png,19,Dangerous curve to the left
3457.png,5,Speed limit (80km/h)
3458.png,20,Dangerous curve to the right
3459.png,33,Turn right ahead
3460.png,34,Turn left ahead
3461.png,5,Speed limit (80km/h)
3462.png,1,Speed limit (30km/h)
3463.png,22,Bumpy road
3464.png,27,Pedestrians
3465.png,7,Speed limit (100km/h)
3466.png,17,No entry
3467.png,21,Double curve
3468.png,30,Beware of ice/snow
3469.png,3,Speed limit (60km/h)
3470.png,23,Slippery road
3471.png,20,Dangerous curve to the right
3472.png,12,Priority road
3473.png,25,Road work
3474.png,12,Priority road
3475.png,4,Speed limit (70km/h)
3476.png,14,Stop
3477.png,14,Stop
3478.png,25,Road work
3479.png,21,Double curve
3480.png,19,Dangerous curve to the left
3481.png,20,Dangerous curve to the right
3482.png,18,General caution
3483.png,31,Wild animals crossing
3484.png,38,Keep right
3485.png,14,Stop
3486.png,22,Bumpy road
3487.png,35,Ahead only
3488.png,18,General caution
3489.png,35,Ahead only
3490.png,21,Double curve
3491.png,13,Yield
3492.png,1,Speed limit (30km/h)
3493.png,12,Priority road
3494.png,41,End of no passing
3495.png,33,Turn right ahead
3496.png,42,End of no passing by vehicles over 3.5 metric tons
3497.png,40,Roundabout mandatory
3498.png,12,Priority road
3499.png,7,Speed limit (100km/h)
3500.png,14,Stop
3501.png,42,End of no passing by vehicles over 3.5 metric tons
3502.png,32,End of all speed and passing limits
3503.png,40,Roundabout mandatory
3504.png,6,End of speed limit (80km/h)
3505.png,31,Wild animals crossing
3506.png,11,Right-of-way at the next intersection
3507.png,12,Priority road
3508.png,19,Dangerous curve to the left
3509.png,10,No passing for vehicles over 3.5 metric tons
3510.png,15,No vehicles
3511.png,26,Traffic signals
3512.png,10,No passing for vehicles over 3.5 metric tons
3513.png,13,Yield
3514.png,5,Speed limit (80km/h)
3515.png,40,Roundabout mandatory
3516.png,23,Slippery road
3517.png,11,Right-of-way at the next intersection
3518.png,1,Speed limit (30km/h)
3519.png,16,Vehicles over 3.5 metric tons prohibited
3520.png,10,No passing for vehicles over 3.5 metric tons
3521.png,10,No passing for vehicles over 3.5 metric tons
3522.png,17,No entry
3523.png,20,Dangerous curve to the right
3524.png,1,Speed limit (30km/h)
3525.png,35,Ahead only
3526.png,27,Pedestrians
3527.png,30,Beware of ice/snow
3528.png,39,Keep left
3529.png,4,Speed limit (70km/h)
3530.png,20,Dangerous curve to the right
3531.png,1,Speed limit (30km/h)
3532.png,21,Double curve
3533.png,25,Road work
3534.png,5,Speed limit (80km/h)
3535.png,22,Bumpy road
3536.png,11,Right-of-way at the next intersection
3537.png,4,Speed limit (70km/h)
3538.png,8,Speed limit (120km/h)
3539.png,7,Speed limit (100km/h)
3540.png,0,Speed limit (20km/h)
3541.png,11,Right-of-way at the next intersection
3542.png,21,Double curve
3543.png,24,Road narrows on the right
3544.png,41,End of no passing
3545.png,31,Wild animals crossing
3546.png,24,Road narrows on the right
3547.png,16,Vehicles over 3.5 metric tons prohibited
3548.png,12,Priority road
3549.png,27,Pedestrians
3550.png,27,Pedestrians
3551.png,20,Dangerous curve to the right
3552.png,16,Vehicles over 3.5 metric tons prohibited
3553.png,23,Slippery road
3554.png,17,No entry
3555.png,39,Keep left
3556.png,26,Traffic signals
3557.png,26,Traffic signals
3558.png,0,Speed limit (20km/h)
3559.png,22,Bumpy road
3560.png,34,Turn left ahead
3561.png,30,Beware of ice/snow
3562.png,28,Children crossing
3563.png,24,Road narrows on the right
3564.png,8,Speed limit (120km/h)
3565.png,17,No entry
3566.png,35,Ahead only
3567.png,2,Speed limit (50km/h)
3568.png,32,End of all speed and passing limits
3569.png,32,End of all speed and passing limits
3570.png,13,Yield
3571.png,8,Speed limit (120km/h)
3572.png,28,Children crossing
3573.png,22,Bumpy road
3574.png,8,Speed limit (120km/h)
3575.png,6,End of speed limit (80km/h)
3576.png,11,Right-of-way at the next intersection
3577.png,14,Stop
3578.png,35,Ahead only
3579.png,23,Slippery road
3580.png,20,Dangerous curve to the right
3581.png,22,Bumpy road
3582.png,35,Ahead only
3583.png,37,Go straight or left
3584.png,24,Road narrows on the right
3585.png,8,Speed limit (120km/h)
3586.png,1,Speed limit (30km/h)
3587.png,33,Turn right ahead
3588.png,41,End of no passing
3589.png,30,Beware of ice/snow
3590.png,35,Ahead only
3591.png,16,Vehicles over 3.5 metric tons prohibited
3592.png,3,Speed limit (60km/h)
3593.png,8,Speed limit (120km/h)
3594.png,42,End of no passing by vehicles over 3.5 metric tons
3595.png,4,Speed limit (70km/h)
3596.png,38,Keep right
3597.png,26,Traffic signals
3598.png,34,Turn left ahead
3599.png,17,No entry
3600.png,8,Speed limit (120km/h)
3601.png,22,Bumpy road
3602.png,0,Speed limit (20km/h)
3603.png,23,Slippery road
3604.png,37,Go straight or left
3605.png,15,No vehicles
3606.png,33,Turn right ahead
3607.png,14,Stop
3608.png,36,Go straight or right
3609.png,21,Double curve
3610.png,4,Speed limit (70km/h)
3611.png,19,Dangerous curve to the left
3612.png,0,Speed limit (20km/h)
3613.png,5,Speed limit (80km/h)
3614.png,20,Dangerous curve to the right
3615.png,6,End of speed limit (80km/h)
3616.png,38,Keep right
3617.png,31,Wild animals crossing
3618.png,20,Dangerous curve to the right
3619.png,2,Speed limit (50km/h)
3620.png,3,Speed limit (60km/h)
3621.png,22,Bumpy road
3622.png,40,Roundabout mandatory
3623.png,11,Right-of-way at the next intersection
3624.png,30,Beware of ice/snow
3625.png,10,No passing for vehicles over 3.5 metric tons
3626.png,10,No passing for vehicles over 3.5 metric tons
3627.png,19,Dangerous curve to the left
3628.png,24,Road narrows on the right
3629.png,35,Ahead only
3630.png,29,Bicycles crossing
3631.png,12,Priority road
3632.png,41,End of no passing
3633.png,23,Slippery road
3634.png,28,Children crossing
3635.png,0,Speed limit (20km/h)
3636.png,42,End of no passing by vehicles over 3.5 metric tons
3637.png,17,No entry
3638.png,41,End of no passing
3639.png,16,Vehicles over 3.5 metric tons prohibited
3640.png,20,Dangerous curve to the right
3641.png,8,Speed limit (120km/h)
3642.png,16,Vehicles over 3.5 metric tons prohibited
3643.png,12,Priority road
3644.png,5,Speed limit (80km/h)
3645.png,7,Speed limit (100km/h)
3646.png,10,No passing for vehicles over 3.5 metric tons
3647.png,29,Bicycles crossing
3648.png,30,Beware of ice/snow
3649.png,9,No passing
3650.png,12,Priority road
3651.png,6,End of speed limit (80km/h)
3652.png,7,Speed limit (100km/h)
3653.png,41,End of no passing
3654.png,1,Speed limit (30km/h)
3655.png,23,Slippery road
3656.png,15,No vehicles
3657.png,21,Double curve
3658.png,20,Dangerous curve to the right
3659.png,1,Speed limit (30km/h)
3660.png,30,Beware of ice/snow
3661.png,0,Speed limit (20km/h)
3662.png,33,Turn right ahead
3663.png,18,General caution
3664.png,20,Dangerous curve to the right
3665.png,26,Traffic signals
3666.png,35,Ahead only
3667.png,23,Slippery road
3668.png,17,No entry
3669.png,6,End of speed limit (80km/h)
3670.png,31,Wild animals crossing
3671.png,25,Road work
3672.png,40,Roundabout mandatory
3673.png,28,Children crossing
3674.png,15,No vehicles
3675.png,19,Dangerous curve to the left
3676.png,37,Go straight or left
3677.png,16,Vehicles over 3.5 metric tons prohibited
3678.png,11,Right-of-way at the next intersection
3679.png,41,End of no passing
3680.png,31,Wild animals crossing
3681.png,9,No passing
3682.png,17,No entry
3683.png,34,Turn left ahead
3684.png,41,End of no passing
3685.png,19,Dangerous curve to the left
3686.png,4,Speed limit (70km/h)
3687.png,27,Pedestrians
3688.png,34,Turn left ahead
3689.png,42,End of no passing by vehicles over 3.5 metric tons
3690.png,41,End of no passing
3691.png,39,Keep left
3692.png,32,End of all speed and passing limits
3693.png,35,Ahead only
3694.png,41,End of no passing
3695.png,36,Go straight or right
3696.png,2,Speed limit (50km/h)
3697.png,18,General caution
3698.png,3,Speed limit (60km/h)
3699.png,35,Ahead only
3700.png,15,No vehicles
3701.png,23,Slippery road
3702.png,11,Right-of-way at the next intersection
3703.png,36,Go straight or right
3704.png,28,Children crossing
3705.png,36,Go straight or right
3706.png,35,Ahead only
3707.png,34,Turn left ahead
3708.png,12,Priority road
3709.png,9,No passing
3710.png,12,Priority road
3711.png,32,End of all speed and passing limits
3712.png,25,Road work
3713.png,31,Wild animals crossing
3714.png,2,Speed limit (50km/h)
3715.png,36,Go straight or right
3716.png,13,Yield
3717.png,4,Speed limit (70km/h)
3718.png,12,Priority road
3719.png,34,Turn left ahead
3720.png,19,Dangerous curve to the left
3721.png,33,Turn right ahead
3722.png,19,Dangerous curve to the left
3723.png,10,No passing for vehicles over 3.5 metric tons
3724.png,3,Speed limit (60km/h)
3725.png,10,No passing for vehicles over 3.5 metric tons
3726.png,28,Children crossing
3727.png,22,Bumpy road
3728.png,39,Keep left
3729.png,7,Speed limit (100km/h)
3730.png,22,Bumpy road
3731.png,13,Yield
3732.png,40,Roundabout mandatory
3733.png,18,General caution
3734.png,24,Road narrows on the right
3735.png,9,No passing
3736.png,33,Turn right ahead
3737.png,6,End of speed limit (80km/h)
3738.png,38,Keep right
3739.png,35,Ahead only
3740.png,5,Speed limit (80km/h)
3741.png,9,No passing
3742.png,30,Beware of ice/snow
3743.png,15,No vehicles
3744.png,6,End of speed limit (80km/h)
3745.png,26,Traffic signals
3746.png,36,Go straight or right
3747.png,23,Slippery road
3748.png,23,Slippery road
3749.png,34,Turn left ahead
3750.png,14,Stop
3751.png,28,Children crossing
3752.png,32,End of all speed and passing limits
3753.png,16,Vehicles over 3.5 metric tons prohibited
3754.png,33,Turn right ahead
3755.png,28,Children crossing
3756.png,39,Keep left
3757.png,34,Turn left ahead
3758.png,28,Children crossing
3759.png,11,Right-of-way at the next intersection
3760.png,16,Vehicles over 3.5 metric tons prohibited
3761.png,6,End of speed limit (80km/h)
3762.png,10,No passing for vehicles over 3.5 metric tons
3763.png,13,Yield
3764.png,37,Go straight or left
3765.png,37,Go straight or left
3766.png,33,Turn right ahead
3767.png,25,Road work
3768.png,26,Traffic signals
3769.png,27,Pedestrians
3770.png,29,Bicycles crossing
3771.png,7,Speed limit (100km/h)
3772.png,7,Speed limit (100km/h)
3773.png,14,Stop
3774.png,13,Yield
3775.png,14,Stop
3776.png,5,Speed limit (80km/h)
3777.png,15,No vehicles
3778.png,11,Right-of-way at the next intersection
3779.png,17,No entry
3780.png,36,Go straight or right
3781.png,23,Slippery road
3782.png,30,Beware of ice/snow
3783.png,33,Turn right ahead
3784.png,26,Traffic signals
3785.png,23,Slippery road
3786.png,22,Bumpy road
3787.png,8,Speed limit (120km/h)
3788.png,0,Speed limit (20km/h)
3789.png,20,Dangerous curve to the right
3790.png,17,No entry
3791.png,18,General caution
3792.png,9,No passing
3793.png,27,Pedestrians
3794.png,8,Speed limit (120km/h)
3795.png,35,Ahead only
3796.png,38,Keep right
3797.png,34,Turn left ahead
3798.png,13,Yield
3799.png,23,Slippery road
3800.png,28,Children crossing
3801.png,19,Dangerous curve to the left
3802.png,0,Speed limit (20km/h)
3803.png,35,Ahead only
3804.png,15,No vehicles
3805.png,31,Wild animals crossing
3806.png,16,Vehicles over 3.5 metric tons prohibited
3807.png,7,Speed limit (100km/h)
3808.png,7,Speed limit (100km/h)
3809.png,42,End of no passing by vehicles over 3.5 metric tons
3810.png,15,No vehicles
3811.png,30,Beware of ice/snow
3812.png,32,End of all speed and passing limits
3813.png,33,Turn right ahead
3814.png,37,Go straight or left
3815.png,31,Wild animals crossing
3816.png,34,Turn left ahead
3817.png,12,Priority road
3818.png,7,Speed limit (100km/h)
3819.png,12,Priority road
3820.png,8,Speed limit (120km/h)
3821.png,28,Children crossing
3822.png,0,Speed limit (20km/h)
3823.png,9,No passing
3824.png,12,Priority road
3825.png,0,Speed limit (20km/h)
3826.png,33,Turn right ahead
3827.png,17,No entry
3828.png,36,Go straight or right
3829.png,9,No passing
3830.png,12,Priority road
3831.png,25,Road work
3832.png,21,Double curve
3833.png,40,Roundabout mandatory
3834.png,5,Speed limit (80km/h)
3835.png,28,Children crossing
3836.png,22,Bumpy road
3837.png,15,No vehicles
3838.png,38,Keep right
3839.png,31,Wild animals crossing
3840.png,19,Dangerous curve to the left
3841.png,28,Children crossing
3842.png,11,Right-of-way at the next intersection
3843.png,24,Road narrows on the right
3844.png,6,End of speed limit (80km/h)
3845.png,9,No passing
3846.png,20,Dangerous curve to the right
3847.png,31,Wild animals crossing
3848.png,1,Speed limit (30km/h)
3849.png,40,Roundabout mandatory
3850.png,42,End of no passing by vehicles over 3.5 metric tons
3851.png,5,Speed limit (80km/h)
3852.png,4,Speed limit (70km/h)
3853.png,31,Wild animals crossing
3854.png,1,Speed limit (30km/h)
3855.png,1,Speed limit (30km/h)
3856.png,10,No passing for vehicles over 3.5 metric tons
3857.png,28,Children crossing
3858.png,32,End of all speed and passing limits
3859.png,0,Speed limit (20km/h)
3860.png,6,End of speed limit (80km/h)
3861.png,35,Ahead only
3862.png,39,Keep left
3863.png,11,Right-of-way at the next intersection
3864.png,2,Speed limit (50km/h)
3865.png,41,End of no passing
3866.png,19,Dangerous curve to the left
3867.png,12,Priority road
3868.png,20,Dangerous curve to the right
3869.png,4,Speed limit (70km/h)
3870.png,11,Right-of-way at the next intersection
3871.png,1,Speed limit (30km/h)
3872.png,17,No entry
3873.png,34,Turn left ahead
3874.png,23,Slippery road
3875.png,3,Speed limit (60km/h)
3876.png,42,End of no passing by vehicles over 3.5 metric tons
3877.png,6,End of speed limit (80km/h)
3878.png,7,Speed limit (100km/h)
3879.png,19,Dangerous curve to the left
3880.png,16,Vehicles over 3.5 metric tons prohibited
3881.png,16,Vehicles over 3.5 metric tons prohibited
3882.png,29,Bicycles crossing
3883.png,23,Slippery road
3884.png,18,General caution
3885.png,31,Wild animals crossing
3886.png,9,No passing
3887.png,41,End of no passing
3888.png,41,End of no passing
3889.png,12,Priority road
3890.png,39,Keep left
3891.png,30,Beware of ice/snow
3892.png,2,Speed limit (50km/h)
3893.png,24,Road narrows on the right
3894.png,7,Speed limit (100km/h)
3895.png,20,Dangerous curve to the right
3896.png,23,Slippery road
3897.png,23,Slippery road
3898.png,34,Turn left ahead
3899.png,28,Children crossing
3900.png,23,Slippery road
3901.png,40,Roundabout mandatory
3902.png,41,End of no passing
3903.png,6,End of speed limit (80km/h)
3904.png,14,Stop
3905.png,40,Roundabout mandatory
3906.png,36,Go straight or right
3907.png,21,Double curve
3908.png,3,Speed limit (60km/h)
3909.png,41,End of no passing
3910.png,6,End of speed limit (80km/h)
3911.png,29,Bicycles crossing
3912.png,30,Beware of ice/snow
3913.png,13,Yield
3914.png,12,Priority road
3915.png,14,Stop
3916.png,42,End of no passing by vehicles over 3.5 metric tons
3917.png,32,End of all speed and passing limits
3918.png,16,Vehicles over 3.5 metric tons prohibited
3919.png,21,Double curve
3920.png,35,Ahead only
3921.png,30,Beware of ice/snow
3922.png,32,End of all speed and passing limits
3923.png,9,No passing
3924.png,17,No entry
3925.png,5,Speed limit (80km/h)
3926.png,40,Roundabout mandatory
3927.png,27,Pedestrians
3928.png,10,No passing for vehicles over 3.5 metric tons
3929.png,30,Beware of ice/snow
3930.png,16,Vehicles over 3.5 metric tons prohibited
3931.png,31,Wild animals crossing
3932.png,13,Yield
3933.png,39,Keep left
3934.png,42,End of no passing by vehicles over 3.5 metric tons
3935.png,0,Speed limit (20km/h)
3936.png,24,Road narrows on the right
3937.png,15,No vehicles
3938.png,20,Dangerous curve to the right
3939.png,24,Road narrows on the right
3940.png,42,End of no passing by vehicles over 3.5 metric tons
3941.png,38,Keep right
3942.png,30,Beware of ice/snow
3943.png,12,Priority road
3944.png,15,No vehicles
3945.png,23,Slippery road
3946.png,25,Road work
3947.png,5,Speed limit (80km/h)
3948.png,3,Speed limit (60km/h)
3949.png,10,No passing for vehicles over 3.5 metric tons
3950.png,27,Pedestrians
3951.png,42,End of no passing by vehicles over 3.5 metric tons
3952.png,16,Vehicles over 3.5 metric tons prohibited
3953.png,7,Speed limit (100km/h)
3954.png,26,Traffic signals
3955.png,2,Speed limit (50km/h)
3956.png,4,Speed limit (70km/h)
3957.png,42,End of no passing by vehicles over 3.5 metric tons
3958.png,10,No passing for vehicles over 3.5 metric tons
3959.png,5,Speed limit (80km/h)
3960.png,11,Right-of-way at the next intersection
3961.png,16,Vehicles over 3.5 metric tons prohibited
3962.png,24,Road narrows on the right
3963.png,5,Speed limit (80km/h)
3964.png,17,No entry
3965.png,0,Speed limit (20km/h)
3966.png,22,Bumpy road
3967.png,13,Yield
3968.png,25,Road work
3969.png,40,Roundabout mandatory
3970.png,14,Stop
3971.png,33,Turn right ahead
3972.png,2,Speed limit (50km/h)
3973.png,3,Speed limit (60km/h)
3974.png,22,Bumpy road
3975.png,9,No passing
3976.png,30,Beware of ice/snow
3977.png,31,Wild animals crossing
3978.png,28,Children crossing
3979.png,13,Yield
3980.png,33,Turn right ahead
3981.png,26,Traffic signals
3982.png,8,Speed limit (120km/h)
3983.png,23,Slippery road
3984.png,0,Speed limit (20km/h)
3985.png,17,No entry
3986.png,0,Speed limit (20km/h)
3987.png,35,Ahead only
3988.png,33,Turn right ahead
3989.png,30,Beware of ice/snow
3990.png,32,End of all speed and passing limits
3991.png,27,Pedestrians
3992.png,29,Bicycles crossing
3993.png,21,Double curve
3994.png,9,No passing
3995.png,24,Road narrows on the right
3996.png,19,Dangerous curve to the left
3997.png,1,Speed limit (30km/h)
3998.png,19,Dangerous curve to the left
3999.png,26,Traffic signals
4000.png,35,Ahead only
4001.png,33,Turn right ahead
4002.png,41,End of no passing
4003.png,22,Bumpy road
4004.png,13,Yield
4005.png,14,Stop
4006.png,9,No passing
4007.png,19,Dangerous curve to the left
4008.png,10,No passing for vehicles over 3.5 metric tons
4009.png,36,Go straight or right
4010.png,6,End of speed limit (80km/h)
4011.png,33,Turn right ahead
4012.png,18,General caution
4013.png,4,Speed limit (70km/h)
4014.png,14,Stop
4015.png,28,Children crossing
4016.png,15,No vehicles
4017.png,10,No passing for vehicles over 3.5 metric tons
4018.png,1,Speed limit (30km/h)
4019.png,19,Dangerous curve to the left
4020.png,2,Speed limit (50km/h)
4021.png,12,Priority road
4022.png,3,Speed limit (60km/h)
4023.png,33,Turn right ahead
4024.png,27,Pedestrians
4025.png,39,Keep left
4026.png,39,Keep left
4027.png,39,Keep left
4028.png,27,Pedestrians
4029.png,20,Dangerous curve to the right
4030.png,37,Go straight or left
4031.png,26,Traffic signals
4032.png,9,No passing
4033.png,1,Speed limit (30km/h)
4034.png,25,Road work
4035.png,31,Wild animals crossing
4036.png,42,End of no passing by vehicles over 3.5 metric tons
4037.png,19,Dangerous curve to the left
4038.png,42,End of no passing by vehicles over 3.5 metric tons
4039.png,31,Wild animals crossing
4040.png,11,Right-of-way at the next intersection
4041.png,41,End of no passing
4042.png,34,Turn left ahead
4043.png,7,Speed limit (100km/h)
4044.png,30,Beware of ice/snow
4045.png,32,End of all speed and passing limits
4046.png,35,Ahead only
4047.png,6,End of speed limit (80km/h)
4048.png,32,End of all speed and passing limits
4049.png,8,Speed limit (120km/h)
4050.png,32,End of all speed and passing limits
4051.png,16,Vehicles over 3.5 metric tons prohibited
4052.png,9,No passing
4053.png,36,Go straight or right
4054.png,18,General caution
4055.png,4,Speed limit (70km/h)
4056.png,14,Stop
4057.png,1,Speed limit (30km/h)
4058.png,2,Speed limit (50km/h)
4059.png,35,Ahead only
4060.png,41,End of no passing
4061.png,11,Right-of-way at the next intersection
4062.png,2,Speed limit (50km/h)
4063.png,33,Turn right ahead
4064.png,15,No vehicles
4065.png,28,Children crossing
4066.png,31,Wild animals crossing
4067.png,34,Turn left ahead
4068.png,33,Turn right ahead
4069.png,6,End of speed limit (80km/h)
4070.png,31,Wild animals crossing
4071.png,38,Keep right
4072.png,26,Traffic signals
4073.png,3,Speed limit (60km/h)
4074.png,32,End of all speed and passing limits
4075.png,18,General caution
4076.png,32,End of all speed and passing limits
4077.png,29,Bicycles crossing
4078.png,29,Bicycles crossing
4079.png,7,Speed limit (100km/h)
4080.png,28,Children crossing
4081.png,34,Turn left ahead
4082.png,3,Speed limit (60km/h)
4083.png,38,Keep right
4084.png,11,Right-of-way at the next intersection
4085.png,1,Speed limit (30km/h)
4086.png,29,Bicycles crossing
4087.png,8,Speed limit (120km/h)
4088.png,38,Keep right
4089.png,14,Stop
4090.png,12,Priority road
4091.png,12,Priority road
4092.png,3,Speed limit (60km/h)
4093.png,9,No passing
